CustomerID|CurrentBalance|CurrentInterestRate|DatePaymentDue|DateNotifiedOfPayment|CurrentPaymentDue|DateSinceLastPaymentMade|MissedPaymentFlag|AccountType|
423453245|55.00|.056|10/01/2018|09/25/2018|5.50|09/01/2018|0|LT|
423453245|600.09|.023|10/01/2018|09/25/2018|60.01|09/01/2018|0|ST|
345653425|100.00|.010|10/05/2018|09/30/2018|10.00|09/05/2018|0|CC|
345653425|27.99|.023|10/01/2018|09/25/2018|2.80|08/25/2018|0|LT|
423148894|534.64|.077|10/01/2018|09/25/2018|53.46|08/30/2018|0|ST|
423148894|140.83|.056|10/01/2018|09/25/2018|14.08|09/04/2018|1|CC|
677879013|0.50|.010|10/10/2018|10/04/2018|0.05|09/05/2018|0|LT|
345599870|1596.32|.077|10/05/2018|09/30/2018|159.30|09/03/2018|0|ST|
345599870|78.03|.056|10/10/2018|10/04/2018|7.80|09/11/2018|1|CC|
423567890|2777.20|.023|10/10/2018|10/04/2018|277.72|09/03/2018|0|LT|
345812332|2718.03|.010|10/10/2018|10/04/2018|271.80|09/10/2018|0|ST|
345812332|425.46|.023|10/05/2018|09/30/2018|42.55|09/01/2018|0|CC|
345879912|1303.49|.023|10/10/2018|10/04/2018|130.35|09/01/2018|0|LT|
423168945|750.80|.056|10/01/2018|09/25/2018|75.08|09/02/2018|1|ST|
423168945|999.99|.010|10/05/2018|10/04/2018|100.00|09/02/2018|0|CC|
235445789|40.45|.077|10/10/2018|10/04/2018|4.05|09/09/2018|0|LT|
436789213|2375.41|.010|10/05/2018|09/30/2018|237.54|09/05/2018|0|ST|
436789213|16.67|.077|10/01/2018|09/25/2018|1.67|08/30/2018|0|CC|
233435656|2018.01|.056|10/10/2018|10/04/2018|201.80|08/31/2018|0|LT|
233435656|949.90|.023|10/01/2018|09/25/2018|94.99|08/27/2018|0|ST|
435678787|521.83|.077|10/01/2018|09/25/2018|52.18|09/01/2018|0|CC|
563432913|699.00|.056|10/05/2018|09/30/2018|69.90|09/08/2018|1|LT|
563432913|0.00|.010|10/10/2018|10/04/2018|0.00|09/09/2018|0|ST|
345679898|3.99|.010|10/05/2018|09/30/2018|0.39|09/05/2018|0|CC|
345679898|4999.90|.056|10/01/2018|09/25/2018|499.99|09/01/2018|0|LT|
