CustomerID,CurrentBalance,CurrentInterestRate,DatePaymentDue,DateNotifiedOfPayment,CurrentPaymentDue,DateSinceLastPaymentMade,MissedPaymentFlag,AccountType,
423453245,550.00,.056,10/01/2018,09/25/2018,5.50,09/01/2018,0,ST,
345653425,800.00,.023,10/01/2018,09/25/2018,127.99,08/25/2018,0,CC,
423453245,1200.00,.023,10/01/2018,09/25/2018,600.09,09/01/2018,0,CC,
423148894,534.64,.077,10/01/2018,09/25/2018,53.46,08/30/2018,0,LT,
423148894,700.00,.056,10/01/2018,09/25/2018,140.83,09/04/2018,1,CC,
677879013,50.50,.010,10/10/2018,10/04/2018,5.05,09/05/2018,0,ST,
345599870,596.32,.077,10/05/2018,09/30/2018,59.63,09/03/2018,0,LT,
345599870,900.00,.056,10/10/2018,10/04/2018,78.03,09/11/2018,1,CC,
423567890,277.20,.023,10/10/2018,10/04/2018,27.72,09/03/2018,0,ST,
345812332,1500.00,.010,10/10/2018,10/04/2018,720.49,09/10/2018,0,CC,
345879912,600.00,.023,10/10/2018,10/04/2018,103.49,09/01/2018,0,CC,
423168945,999.99,.056,10/01/2018,09/25/2018,100.00,09/02/2018,1,ST,
423168945,700.00,.010,10/05/2018,10/04/2018,70.80,09/02/2018,0,CC,
235445789,800.00,.077,10/10/2018,10/04/2018,40.45,09/09/2018,0,CC,
436789213,900.00,.010,10/05/2018,09/30/2018,292.08,09/05/2018,0,CC,
233435656,2018.01,.056,10/10/2018,10/04/2018,201.80,08/31/2018,0,ST,
233435656,1000.00,.023,10/01/2018,09/25/2018,449.90,08/27/2018,0,CC,
435678787,1100.00,.077,10/01/2018,09/25/2018,521.83,09/01/2018,0,CC,
563432913,699.00,.056,10/05/2018,09/30/2018,69.90,09/08/2018,1,ST,
563432913,1100.00,.010,10/10/2018,10/04/2018,110.00,09/09/2018,0,LT,
345679898,700.00,.010,10/05/2018,09/30/2018,3.99,09/05/2018,0,CC,
345679898,4999.90,.056,10/01/2018,09/25/2018,499.99,09/01/2018,0,ST,
