CustomerID,AccountBalance,CurrInterestRate,DateAccOpened,DateCDDue,CDNumber
423453245,68541.0,1.9,06/18/2017,04/19/2019,1,
345653425,651.0,1.9,07/31/2017,11/07/2018,2,
345599870,65165.0,1.9,08/01/2018,08/23/2019,3,
345879912,20558.0,1.9,07/14/2018,01/05/2019,4,
235445789,65165.0,1.9,12/01/2017,11/05/2018,5,
436789213,456465.0,1.9,07/18/2017,11/05/2019,6,
435678787,33115.0,1.9,06/24/2017,11/21/2018,7,
563432913,9741.0,1.9,09/26/2017,08/17/2019,8,
345599870,10005.0,1.9,08/09/2018,04/15/2018,9,
851593249,2500.0,0.2,11/09/2018,11/09/2018,10,
345879912,5000.0,0.2,11/09/2018,11/09/2018,11,
